# Malicious npm / PyPI packages — name<TAB>ecosystem<TAB>versions<TAB>campaign<TAB>source
#
# 'versions' semantics used by the scanner:
#   1.2.3,1.2.4   exact list        1.3.0-1.3.4   inclusive range        *   all versions
#
# Built 2026-08-18 from a 5-source sweep (StepSecurity, Socket.dev, Aikido, JFrog,
# Endor Labs, Sonatype, Wiz, Checkmarx, OSV/GitHub advisories), merged with the
# incident-confirmed GlassWorm seed set.
# Spot-verified against api.osv.dev: 11 of a random 12 returned a real MAL-/GHSA
# advisory for the exact name@version pair. 57 malformed records were dropped.
#
# Campaigns: GlassWorm/PolinRider npm wave, GlassWorm blockchain wave, Shai-Hulud
# 1.0/2.0/'Here We Go Again'/Mini, Qix maintainer phish (chalk/debug), Miasma,
# TanStack/TeamPCP, dependency-confusion profiling, PyPI 'Hades' wave.

@adminide-stack/clock-tik-browser	npm	12.0.24	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@adminide-stack/yantra-mobile	npm	12.0.33	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@agnoliaarisian7180/string-argv	npm	0.3.0,0.3.1	GlassWorm (PolinRider / March 2026 npm wave)	https://www.stepsecurity.io/blog/malicious-npm-releases-found-in-popul
@aifabrix/miso-client	npm	4.7.2	GlassWorm (PolinRider / March 2026 npm wave)	https://www.aikido.dev/blog/glassworm-returns-unicode-attack-github-np
@antv/g	npm	6.4.1,6.5.1	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://www.stepsecurity.io/blog/shai-hulud-here-we-go-again-mass-npm-
@antv/g2	npm	5.5.8,5.6.8	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/g2plot	npm	2.5.35,2.6.35	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/g6	npm	5.2.1,5.3.1	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/l7	npm	2.26.10,2.27.10	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/s2	npm	2.8.1,2.9.1	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/scale	npm	0.6.2,0.7.2	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@antv/x6	npm	3.2.7,3.3.7	Mini Shai-Hulud Wave 5 / TeamPCP - AntV wave (	https://safedep.io/mini-shai-hulud-strikes-again-314-npm-packages-comp
@arv-bedrock/auth	npm	1.1.7,1.1.8	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@arv-bedrock/auth-admin	npm	1.0.2,1.0.3	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@arv-bedrock/auth-sso	npm	1.6.1,1.6.2	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@arv-bedrock/auth-sso-backend	npm	1.7.1,1.7.2	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@arv-bedrock/logger	npm	1.7.1,1.7.2	Shai-Hulud: Here We Go Again (wave 3, Aug 4 20	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/avro-schema-parser	npm	3.0.25,3.0.26	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/bundler	npm	0.6.5,0.6.6	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/cli	npm	4.1.2,4.1.3	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/converter	npm	1.6.3,1.6.4	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/diff	npm	0.5.1,0.5.2	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/dotnet-rabbitmq-template	npm	1.0.1,1.0.2	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
@asyncapi/edavisualiser	npm	1.2.1,1.2.2	Shai-Hulud 2.0 / The Second Coming (wave 2, No	https://github.com/wiz-sec-public/wiz-research-iocs/blob/main/reports/
